Наименование;Адрес;Район
Государственное бюджетное дошкольное образовательное учреждение детский сад № 1 Петроградского района Санкт-Петербурга;Санкт-Петербург г, Татарский пер, 8, А, 197198;Петроградский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 88 Невского района Санкт-Петербурга;193079, город Санкт-Петербург, пр-кт Большевиков, д. 68 к. 2 стр. 1 ;Невский
Государственное бюджетное дошкольное образовательное учреждение детский сад №91 Невского района Санкт-Петербурга;193149, город Санкт-Петербург, Русановская ул, д. 20 к. 2 стр. 1;Невский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 107 Невского района Санкт-Петербурга;193313, город Санкт-Петербург, ул Белышева, д. 3 к. 1 стр. 1;Невский
Государственное бюджетное дошкольное общеобразовательное учреждение детский сад №17 Выборгского района Санкт-Петербурга;194156, город Санкт-Петербург, Манчестерская ул, д. 3 к. 3 стр. 1 ;Выборгский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 75 Выборгского района Санкт Петербурга;194294, город Санкт-Петербург, п Парголово, Михайловская дор, д. 14 к. 4 стр. 1;Выборгский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 14 Выборгского района Санкт Петербурга;194363, город Санкт-Петербург, Толубеевский пр-д, д. 14 к. 2 стр. 1;Выборгский
Государственное бюджетное Дошкольное Образовательное учреждение Детский Сад №13 Пушкинского Района Санкт-Петербурга;196140, г Санкт-Петербург, вн.тер.г поселок Шушары, ул Нины Петровой 8, корпус 3, строение 1;Пушкинский
Государственное бюджетное дошкольное образовательное учреждение детский сад №48 Московского района Санкт-Петербурга;196140, г. Санкт-Петербург, ул. Струве, к. 2, д.16;Московский
Государственное бюджетное дошкольное образовательное учреждение детский сад №52 Пушкинского района Санкт-Петербурга;196624, город Санкт-Петербург, Первомайская ул, д. 29 к. 2 стр. 1;Пушкинский
"Государственное бюджетное дошкольное образовательное
учреждение детский сад № 97
Красносельского района Санкт-Петербурга
«Планета детства»";Российская Федерация, Санкт-Петербург, внутригородское муниципальное образование Санкт-Петербурга муниципальный округ Юго-Запад, улица Морской Пехоты, дом 24, корпус 2, строение 1;Красносельский
Государственное бюджетное дошкольное образовательное учреждение детский сад №40 Пушкинского района Санкт-Петербурга;Санкт-Петербург г, (Новая Ижора) Лангеловская ул, 8, А, 196657;Пушкинский
Государственное бюджетное дошкольное образовательное учреждение детский сад №47 Пушкинского района Санкт-Петербурга;Санкт-Петербург г, (Пулковское) Кокколевская ул, 7, стр.1, 2, 196605;Пушкинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 51 Пушкинского района Санкт-Петербурга;Санкт-Петербург г, (Пулковское) Образцовая ул, 6, 1, 4, 196140;Пушкинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 6 Красносельского района Санкт-Петербурга;Санкт-Петербург г, (Сергиево) Урицкого ул, 14, А, 198218;Красносельский
Государственное бюджетное дошкольное образовательное учреждение детский сад №44 Пушкинского района Санкт-Петербурга;Санкт-Петербург г, (Славянка) Изборская ул, 2, А, 2, 196634;Пушкинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 16 комбинированного вида Красносельского района Санкт-Петербурга;Санкт-Петербург г, (Торики) Политрука Пасечника ул, 14, А, 198326;Красносельский
Государственное бюджетное дошкольное образовательное учреждение детский сад №54 Невского района Санкт-Петербурга;Санкт-Петербург г, (Усть-Славянка) Славянская ул, 19, 192076;Невский
Государственное бюджетное дошкольное образовательное учреждение детский сад №57 Невского района Санкт-Петербурга;Санкт-Петербург г, (Усть-Славянка) Советский пр-кт, 36, 3, 192076;
Государственное бюджетное дошкольное образовательное учреждение детский сад №57 Невского района Санкт-Петербурга;Санкт-Петербург г, (Усть-Славянка) Советский пр-кт, 36, 3, 192077;Невский
Государственное бюджетное дошкольное образовательное учреждение детский сад №109 общеразвивающего вида с приоритетным осуществлением деятельности по художественно-эстетическому развитию детей Адмиралтейского района Санкт-Петербурга;Санкт-Петербург г, 11-я Красноармейская ул, 9, А, 190103;Адмиралтейский
Государственное бюджетное дошкольное образовательное учреждение детский сад №11 общеразвивающего вида Василеостровского района Санкт-Петербурга;Санкт-Петербург г, 12-я В.О. линия, 21, 199178;Василеостровский
Государственное бюджетное дошкольное образовательное учреждение детский сад №1 Василеостровского района Санкт-Петербурга;Санкт-Петербург г, 12-я В.О. линия, 25, Ц, 199178;Василеостровский
Государственное бюджетное дошкольное образовательное учреждение детский сад №35 Василеостровского района Санкт-Петербурга;Санкт-Петербург г, 14-я В.О. линия, 65, А, 199178;Василеостровский
"Государственное бюджетное дошкольное образовательное учреждение детский сад № 15 ""Яблонька"" общеразвивающего вида Василеостровского района Санкт-Петербурга";Санкт-Петербург г, 14-я В.О. линия, 65, А, 199178;Василеостровский
Государственное бюджетное дошкольное образовательное учреждение детский сад №131 Адмиралтейского района Санкт-Петербурга;Санкт-Петербург г, 1-я Красноармейская ул, 3-5-7-9, А, 190005;Адмиралтейский
Государственное бюджетное дошкольное образовательное учреждение детский сад №43 Василеостровского района Санкт-Петербурга;Санкт-Петербург г, 20-я В.О. линия, 19, а, 199106;Василеостровский
Государственное бюджетное дошкольное образовательное учреждение детский сад №34 Василеостровского района Санкт-Петербурга;Санкт-Петербург г, 23-я В.О. линия, 22/24, А, 199106;Василеостровский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 2 «Светлячок» Василеостровского района Санкт-Петербурга;Санкт-Петербург г, 25-я В.О. линия, 6, 2, 199106;Василеостровский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 76 комбинированного вида Невского района Санкт-Петербурга;Санкт-Петербург г, 2-й Рабфаковский пер, 12, К, 192012;Невский
Государственное бюджетное дошкольное образовательное учреждение детский сад №61 Невского района Санкт-Петербурга;Санкт-Петербург г, 2-й Рабфаковский пер, 9, И, 2, 192012;Невский
Государственное бюджетное дошкольное образовательное учреждение детский сад №3 присмотра и оздоровления Красногвардейского района Санкт-Петербурга;Санкт-Петербург г, 2-я Поперечная (Ново-Ковалево) ул, 32, А, 195043;Красногвардейский
Государственное бюджетное дошкольное образовательное учреждение детский сад №75 Невского района Санкт-Петербурга;Санкт-Петербург г, 3-й Рабфаковский пер, 10, Л, 2, 192012;Невский
Государственное бюджетное дошкольное образовательное учреждение детский сад №34 Центрального района Санкт-Петербурга;Санкт-Петербург г, 4-я Советская ул, 4/9, А, 191036;Центральный
Государственное бюджетное дошкольное образовательное учреждение детский сад № 34 Московского района Санкт-Петербурга;Санкт-Петербург г, 5-й Предпортовый проезд, 4, А, 2, 196240;Московский
