ID респондента;Оценка важности функции потенциального сервиса;;;
; Возможность видеть количество вакантных мест для зачисления ребёнка в детский сад;Возможность видеть все детские сады Санкт-Петербурга на одной карте, чтобы знать их местоположение и оценивать расстояние до них от дома / работы;Возможность видеть информацию о специфике детских садов: специализированные группы, дополнительные услуги (занятия с логопедами, наличие бассейна и пр.), особенности работы учреждения; Возможность коммуницировать с персоналом детского сада внутри цифрового сервиса: отправлять обращения заведующему, задавать вопросы
1;5;3;4;5
2;5;5;5;5
3;5;4;5;2
4;5;5;5;5
5;5;5;5;5
6;5;5;5;3
7;5;3;3;1
8;5;5;5;5
9;5;5;4;3
10;5;3;5;3
11;5;3;4;5
12;5;5;5;5
13;5;4;4;5
14;5;5;5;5
15;3;5;5;3
16;5;4;5;4
17;5;5;5;5
18;5;5;5;5
19;5;5;4;5
20;4;4;5;3
21;5;5;5;5
22;5;5;4;3
23;5;5;5;5
24;5;4;5;5
25;5;3;4;4
26;5;5;5;5
27;5;5;5;5
28;5;5;5;5
29;5;3;4;5
30;5;4;4;3
31;5;4;4;3
32;5;5;5;4
33;5;5;5;5
34;5;5;5;3
35;5;5;5;5
36;5;5;5;4
37;5;5;5;2
38;5;5;5;2
39;5;5;5;5
40;5;5;5;5
41;5;5;5;5
42;5;5;5;5
43;4;5;5;4
44;5;5;5;5
45;5;5;5;5
46;5;4;4;5
47;5;5;5;5
48;5;5;5;5
49;5;5;5;4
50;5;5;2;3
